"","Latitud","Longitud"
"2204",12.285,76.8871
"2205",12.285,76.8871
"2206",12.285,76.8871
"2207",12.285,76.8871
"2208",12.285,76.8871
"2209",12.285,76.8871
"2210",12.285,76.8871
"2211",12.285,76.8871
"2212",12.2853,76.88
"2213",12.2853,76.88
"2214",12.2853,76.88
"2215",12.2853,76.88
"2216",12.2853,76.88
"2217",12.2853,76.88
"2218",12.2853,76.88
"2219",12.285,76.8871
"2220",12.285,76.8871
"2221",12.285,76.8871
"2222",12.285,76.8871
"2223",12.285,76.8871
"2224",12.285,76.8871
"2225",12.285,76.8871
"2226",12.285,76.8871
"2227",12.285,76.8871
"2228",12.285,76.8871
"2229",12.285,76.8871
"2230",12.285,76.8871
"2231",12.285,76.8871
"2232",12.285,76.8871
"2233",12.285,76.8871
"2234",12.285,76.8871
"2235",12.285,76.8871
"2236",12.285,76.8871
"2237",12.2853,76.88
"2238",12.2853,76.88
"2239",12.2853,76.88
"2240",12.2853,76.88
"2241",12.285,76.8871
"2242",12.285,76.8871
"2243",12.285,76.8871
"2244",12.285,76.8871
"2245",12.285,76.8871
"2246",12.2853,76.88
"2247",12.2853,76.88
"2248",12.2853,76.88
"2249",12.2853,76.88
"2250",12.2853,76.88
"2251",12.2853,76.88
"2252",12.285,76.8871
"2253",12.285,76.8871
"2254",12.285,76.8871
"2255",12.285,76.8871
"2256",12.285,76.8871
"2257",12.285,76.8871
"2258",12.285,76.8871
"2259",12.285,76.8871
"2260",12.285,76.8871
"2261",12.285,76.8871
"2262",12.285,76.8871
"2263",12.285,76.8871
"2264",12.285,76.8871
"2265",12.285,76.8871
"2266",12.285,76.8871
"2267",12.285,76.8871
"2268",12.285,76.8871
"2269",12.285,76.8871
"2270",12.285,76.8871
"2271",12.285,76.8871
"2272",12.285,76.8871
"2273",12.285,76.8871
"2274",12.285,76.8871
"2275",12.285,76.8871
"2276",12.285,76.8871
"2277",12.285,76.8871
"2278",12.285,76.8871
"2279",12.285,76.8871
"2280",12.285,76.8871
"2281",12.285,76.8871
"2282",12.285,76.8871
"2283",12.285,76.8871
"2284",12.285,76.8871
"2285",12.285,76.8871
"2286",12.285,76.8871
"2287",12.285,76.8871
"2288",12.285,76.8871
"2289",12.285,76.8871
"2290",12.2858,76.883
"2291",12.2858,76.883
"2292",12.2858,76.883
"2293",12.2851,76.882
"2294",12.2857,76.883
"2295",12.285,76.8871
"2296",12.285,76.8871
"2297",12.285,76.8871
"2298",12.286,76.8834
"2299",12.286,76.8834
"2300",12.286,76.8834
"2301",12.286,76.8834
"2302",12.2853,76.88
"2303",12.2853,76.88
"2304",12.2853,76.88
"2305",12.2853,76.88
"2306",12.2853,76.88
"2307",12.2853,76.88
"2308",12.285,76.8871
"2309",12.285,76.8871
"2310",12.285,76.8871
"2311",12.2858,76.883
"2312",12.2858,76.883
"2313",12.2858,76.883
"2314",12.2858,76.883
"2315",12.2851,76.882
"2316",12.2851,76.882
"2317",12.2851,76.882
"2318",12.2851,76.882
"2319",12.2851,76.882
"2320",12.285,76.8871
"2321",12.285,76.8871
"2322",12.285,76.8871
"2323",12.285,76.8871
"2324",12.285,76.8871
"2325",12.286,76.8834
"2326",12.286,76.8834
"2327",12.286,76.8834
"2328",12.286,76.8834
"2329",12.285,76.8871
"2330",12.285,76.8871
"2331",12.285,76.8871
"2332",12.285,76.8871
"2333",12.285,76.8871
"2334",12.285,76.8871
"2335",12.285,76.8871
"2336",12.285,76.8871
"2337",12.286,76.8834
"2338",12.286,76.8834
"2339",12.2858,76.883
"2340",12.2858,76.883
"2341",12.285,76.8871
"2342",12.285,76.8871
"2343",12.285,76.8871
"2344",12.285,76.8871
"2345",12.2851,76.882
"2346",12.2851,76.882
"2347",12.2858,76.883
"2348",12.285,76.8871
"2349",12.285,76.8871
"2350",12.286,76.8834
"2351",12.286,76.8834
"2352",12.286,76.8834
"2353",12.286,76.8834
"2354",12.286,76.8834
"2355",12.286,76.8834
"2356",12.286,76.8834
"2357",12.285,76.8871
"2358",12.285,76.8871
"2359",12.285,76.8871
"2360",12.285,76.8871
"2361",12.285,76.8871
"2362",12.285,76.8871
"2363",12.285,76.8871
"2364",12.285,76.8871
"2365",12.285,76.8871
"2366",12.285,76.8871
"2367",12.285,76.8871
"2368",12.285,76.8871
"2369",12.285,76.8871
"2370",12.285,76.8871
"2371",12.285,76.8871
"2372",12.285,76.8871
"2373",12.285,76.8871
"2374",12.285,76.8871
"2375",12.285,76.8871
"2376",12.285,76.8871
"2377",12.285,76.8871
"2378",12.285,76.8871
"2379",12.285,76.8871
"2380",12.285,76.8871
"2381",12.285,76.8871
"2382",12.285,76.8871
"2383",12.285,76.8871
"2384",12.285,76.8871
"2385",12.285,76.8871
"2386",12.285,76.8871
"2387",12.285,76.8871
"2388",12.285,76.8871
"2389",12.285,76.8871
"2390",12.285,76.8871
"2391",12.285,76.8871
"2392",12.285,76.8871
"2393",12.285,76.8871
"2394",12.285,76.8871
"2395",12.285,76.8871
"2396",12.285,76.8871
"2397",12.285,76.8871
"2398",12.285,76.8871
"2399",12.285,76.8871
"2400",12.285,76.8871
"2401",12.285,76.8871
"2402",12.285,76.8871
"2403",12.285,76.8871
"2404",12.285,76.8871
"2405",12.285,76.8871
"2406",12.285,76.8871
"2407",12.285,76.8871
"2408",12.285,76.8871
"2409",12.285,76.8871
"2410",12.285,76.8871
"2411",12.285,76.8871
"2412",12.285,76.8871
"2413",12.285,76.8871
"2414",12.285,76.8871
"2415",12.285,76.8871
"2416",12.285084,76.8
"2417",12.281854,76.8
"2418",12.28093,76.88
"2419",12.281988,76.8
"2420",12.283531,76.8
"2421",12.283028,76.8
"2422",12.282886,76.8
"2423",12.28188,76.88
"2424",12.285,76.8871
"2425",12.285,76.8871
"2426",12.285,76.8871
"2427",12.285,76.8871
"2428",12.285,76.8871
"2429",12.285,76.8871
"2430",12.285,76.8871
"2431",12.285,76.8871
"2432",12.285,76.8871
"2433",12.285,76.8871
"2434",12.285,76.8871
"2435",12.285,76.8871
"2436",12.285,76.8871
"2437",12.285,76.8871
"2438",12.285,76.8871
"2439",12.285,76.8871
"2440",12.285,76.8871
"2441",12.285,76.8871
"2442",12.285,76.8871
"2443",12.285,76.8871
"2444",12.285,76.8871
"2445",12.285,76.8871
"2446",12.285,76.8871
"2447",12.285,76.8871
"2448",12.285,76.8871
"2449",12.285,76.8871
"2450",12.285,76.8871
"2451",12.285,76.8871
"2452",12.285,76.8871
"2453",12.285,76.8871
"2454",12.285,76.8871
"2455",12.285,76.8871
"2456",12.285,76.8871
"2457",12.285,76.8871
"2458",12.285,76.8871
"2459",12.285,76.8871
"2460",12.285,76.8871
"2461",12.285,76.8871
"2462",12.285,76.8871
"2463",12.285,76.8871
"2464",12.285,76.8871
"2465",12.285,76.8871
"2466",12.285,76.8871
"2467",12.285,76.8871
"2468",12.285,76.8871
"2469",12.285,76.8871
"2470",12.285,76.8871
"2471",12.285,76.8871
"2472",12.285,76.8871
"2473",12.285,76.8871
"2474",12.285,76.8871
"2475",12.285,76.8871
"2476",12.285,76.8871
"2477",12.285,76.8871
"2478",12.285,76.8871
"2479",12.285,76.8871
"2480",12.285,76.8871
"2481",12.285,76.8871
"2482",12.285,76.8871
"2483",12.285,76.8871
"2484",12.285,76.8871
"2485",12.285,76.8871
"2486",12.285,76.8871
"2487",12.285,76.8871
"2488",12.285,76.8871
"2489",12.285,76.8871
"2490",12.285,76.8871
"2491",12.285,76.8871
"2492",12.285,76.8871
"2493",12.285,76.8871
"2494",12.285,76.8871
"2495",12.285,76.8871
"2496",12.285,76.8871
"2497",12.285,76.8871
"2498",12.285,76.8871
"2499",12.285,76.8871
"2500",12.285,76.8871
"2501",12.285,76.8871
"2502",12.285,76.8871
"2503",12.285,76.8871
"2504",12.285,76.8871
"2505",12.285,76.8871
"2506",12.285,76.8871
"2507",12.285,76.8871
"2508",12.285,76.8871
"2509",12.285,76.8871
"2510",12.285,76.8871
"2511",12.285,76.8871
"2512",12.285,76.8871
"2513",12.285,76.8871
"2514",12.285,76.8871
"2515",12.285,76.8871
"2516",12.285,76.8871
"2517",12.285,76.8871
"2518",12.285,76.8871
"2519",12.285,76.8871
"2520",12.285,76.8871
"2521",12.285,76.8871
"2522",12.285,76.8871
"2523",12.285,76.8871
"2524",12.285,76.8871
"2525",12.285,76.8871
"2526",12.285,76.8871
"2527",12.285,76.8871
"2528",12.285,76.8871
"2529",12.285,76.8871
"2530",12.285,76.8871
"2531",12.285,76.8871
"2532",12.285,76.8871
"2533",12.285,76.8871
"2534",12.285,76.8871
"2535",12.285,76.8871
"2536",12.285,76.8871
"2537",12.285,76.8871
"2538",12.285,76.8871
"2539",12.285,76.8871
"2540",12.285,76.8871
"2541",12.285,76.8871
"2542",12.285,76.8871
"2543",12.285,76.8871
"2544",12.285,76.8871
"2545",12.285,76.8871
"2546",12.285,76.8871
"2547",12.285,76.8871
"2548",12.285,76.8871
"2549",12.285,76.8871
"2550",12.285,76.8871
"2551",12.285,76.8871
"2552",12.285,76.8871
"2553",12.285,76.8871
"2554",12.285,76.8871
"2555",12.285,76.8871
"2556",12.285,76.8871
"2557",12.285,76.8871
"2558",12.285,76.8871
"2559",12.285,76.8871
"2560",12.285,76.8871
"2561",12.285,76.8871
"2562",12.285,76.8871
"2563",12.285,76.8871
"2564",12.285,76.8871
"2565",12.285,76.8871
"2566",12.285,76.8871
"2567",12.285,76.8871
"2568",12.285,76.8871
"2569",12.285,76.8871
"2570",12.285,76.8871
"2571",12.285,76.8871
"2572",12.285,76.8871
"2573",12.285,76.8871
"2574",12.285,76.8871
"2575",12.285,76.8871
"2576",12.285,76.8871
"2577",12.285,76.8871
"2578",12.285,76.8871
"2579",12.285,76.8871
"2580",12.285,76.8871
"2581",12.285,76.8871
"2582",12.285,76.8871
"2583",12.285,76.8871
"2584",12.285,76.8871
"2585",12.285,76.8871
"2586",12.285,76.8871
"2587",12.285,76.8871
"2588",12.285,76.8871
"2589",12.285,76.8871
"2590",12.285,76.8871
"2591",12.285,76.8871
"2592",12.285,76.8871
"2593",12.285,76.8871
"2594",12.285,76.8871
"2595",12.285,76.8871
"2596",12.285,76.8871
"2597",12.285,76.8871
"2598",12.285,76.8871
"2599",12.285,76.8871
"2600",12.285,76.8871
"2601",12.285,76.8871
"2602",12.285,76.8871
"2603",12.285,76.8871
"2604",12.285,76.8871
"2605",12.285,76.8871
"2606",12.285,76.8871
"2607",12.285,76.8871
"2608",12.285,76.8871
"2609",12.285,76.8871
"2610",12.285,76.8871
"2611",12.285,76.8871
"2612",12.285,76.8871
"2613",12.285,76.8871
"2614",12.285,76.8871
"2615",12.285,76.8871
"2616",12.285,76.8871
"2617",12.285,76.8871
"2618",12.285,76.8871
"2619",12.285,76.8871
"2620",12.285,76.8871
"2621",12.285,76.8871
"2622",12.285,76.8871
"2623",12.285,76.8871
"2624",12.285,76.8871
"2625",12.285,76.8871
"2626",12.285,76.8871
